id,brand,model,sub_category,link,image
1,Geeboon,TC22,station,https://s.click.aliexpress.com/e/_c4DLcZ1p,images/products/1.jpg
2,Geeboon,HC24,station,https://s.click.aliexpress.com/e/_c4CltYZl,images/products/2.jpg
3,FNIRSI,DWS-200,station,https://s.click.aliexpress.com/e/_c4mnYypV,images/products/3.png
4,FNIRSI,HS-02A,portable,https://s.click.aliexpress.com/e/_c2zEVY71,images/products/4.jpg
5,FNIRSI,HS-02B,portable,https://s.click.aliexpress.com/e/_c2zEVY71,images/products/5.jpg
6,FNIRSI,HS-03,portable,https://s.click.aliexpress.com/e/_c38zGaGj,images/products/6.png
7,FNIRSI,HS-01,portable,https://s.click.aliexpress.com/e/_c4Oig13d,images/products/7.jpg
8,ALIENTEK,T80,portable,https://s.click.aliexpress.com/e/_c3yzpxdt,images/products/8.jpg
9,ALIENTEK,T90A,portable,https://s.click.aliexpress.com/e/_c4XoYyRh,images/products/9.jpg
10,ALIENTEK,T90B,portable,https://s.click.aliexpress.com/e/_c4XoYyRh,images/products/10.jpg
11,AIFEN,A11,portable,https://s.click.aliexpress.com/e/_c39Lv53l,images/products/11.png
12,ANENG,SL108,portable,https://s.click.aliexpress.com/e/_c4tJEpK3,images/products/12.jpg
13,JCD,,iron,https://s.click.aliexpress.com/e/_c3KxYbgX,images/products/13.jpg
14,SEQURE,SI012 Pro Max,portable,https://s.click.aliexpress.com/e/_c3tfQvp1,images/products/14.jpg
15,MINIWARE,TS21,portable,https://s.click.aliexpress.com/e/_c3PA1MJD,images/products/15.jpg
16,ANENG,SL106,iron,https://s.click.aliexpress.com/e/_c4bIfk5H,images/products/16.jpg
17,RELIFE,936,iron,https://s.click.aliexpress.com/e/_c3g8l8gL,images/products/17.jpg
18,PS5,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/18.jpg
19,PS4,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/19.jpg
20,Switch Pro,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/20.jpg
21,PS5,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/21.jpg
22,PS4,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/22.jpg
23,Switch Pro,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/23.jpg
24,PS5,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/24.jpg
25,PS4,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/25.jpg
26,Switch Pro,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/26.jpg
27,XBOX,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/27.jpg
28,XBOX,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/28.jpg
29,XBOX,Joystick,tips,https://s.click.aliexpress.com/e/_c3IxbJP9,images/products/29.jpg
30,Geeboon,T245,handles,https://s.click.aliexpress.com/e/_c3xiJVnV,images/products/30.jpg
31,Geeboon,T115,handles,https://s.click.aliexpress.com/e/_c3xiJVnV,images/products/31.jpg
32,Geeboon,T12,handles,https://s.click.aliexpress.com/e/_c3xiJVnV,images/products/32.jpg
33,Geeboon,T210,handles,https://s.click.aliexpress.com/e/_c3xiJVnV,images/products/33.jpg
34,SUGON,A9,station,https://s.click.aliexpress.com/e/_c2zOYJHh,images/products/34.jpg
35,SUGON,T245,handles,https://s.click.aliexpress.com/e/_c4PPTVKF,images/products/35.jpg
36,SUGON,T115,handles,https://s.click.aliexpress.com/e/_c4PPTVKF,images/products/36.jpg
37,SUGON,T12,handles,https://s.click.aliexpress.com/e/_c4PPTVKF,images/products/37.jpg
38,SUGON,T210,handles,https://s.click.aliexpress.com/e/_c4PPTVKF,images/products/38.jpg
39,AIFEN,A9PRO,station,https://s.click.aliexpress.com/e/_c43mqCh5,images/products/39.jpg
40,SUGON,T61,station,https://s.click.aliexpress.com/e/_c33xFm15,images/products/40.jpg
41,SUGON,T3602,station,https://s.click.aliexpress.com/e/_c4pOjp3z,images/products/41.jpg
42,SUGON,T21,station,https://s.click.aliexpress.com/e/_c4FgRB75,images/products/42.jpg
43,AIXUN,T3A,station,https://s.click.aliexpress.com/e/_c3wNHYPv,images/products/43.jpg
