id,category,sub_category,brand,model,power,price,compatibility,ESD,link,image
1,tools,station,Geeboon,TC22,200W,$70-130,4,OK,https://s.click.aliexpress.com/e/_c4DLcZ1p,https://ae-pic-a1.aliexpress-media.com/kf/S14374bf38f0346a3862698aee35867906.jpg
2,tools,station,Geeboon,HC24,400W,$120-200,5,OK,https://s.click.aliexpress.com/e/_c4CltYZl,https://ae01.alicdn.com/kf/Sea7182c3891e444a8656eba5c6814439k.jpg_80x80.jpg
3,tools,station,FNIRSI,DWS-200,200W,$60-110,3,carefull,https://s.click.aliexpress.com/e/_c4mnYypV,https://ae-pic-a1.aliexpress-media.com/kf/S5894f9cbade64bd48c47547fe47ebee4G.png
4,tools,portable,FNIRSI,HS-02A,100w,$40-70,1.1,carefull,https://s.click.aliexpress.com/e/_c2zEVY71,https://ae-pic-a1.aliexpress-media.com/kf/Sa7aa1a226efc422a9a744ee34160ccb0x.jpg
5,tools,portable,FNIRSI,HS-02B,100w,$40-70,1.4,carefull,https://s.click.aliexpress.com/e/_c2zEVY71,https://ae01.alicdn.com/kf/Safba08c04ad34b3c9cfac78f482cfb2c7.jpg
6,tools,portable,FNIRSI,HS-03,10w,$15-30,1.5,OK,https://s.click.aliexpress.com/e/_c38zGaGj,https://ae-pic-a1.aliexpress-media.com/kf/Sf5907dd8132f4f9fa0372f0f7ed73f05n.png
7,tools,portable,FNIRSI,HS-01,65w,$40-70,1.2,carefull,https://s.click.aliexpress.com/e/_c4Oig13d,https://ae-pic-a1.aliexpress-media.com/kf/S273a1b2ec7334e2e834b438e233ee90cx.jpg
8,tools,portable,ALIENTEK,T80,100w,$45-90,1.1,carefull,https://s.click.aliexpress.com/e/_c3yzpxdt,https://ae-pic-a1.aliexpress-media.com/kf/Sc880e9b25d5f40c4a4f35864198d8da36.jpg
9,tools,portable,ALIENTEK,T90A,65W,$45-90,1.4,carefull,https://s.click.aliexpress.com/e/_c4XoYyRh,https://ae-pic-a1.aliexpress-media.com/kf/S8040df1481a741aa80bcfb3540561e54z.jpg
10,tools,portable,ALIENTEK,T90B,140W,$45-90,1.1,carefull,https://s.click.aliexpress.com/e/_c4XoYyRh,https://ae-pic-a1.aliexpress-media.com/kf/S8040df1481a741aa80bcfb3540561e54z.jpg
11,tools,portable,AIFEN,A11,75W,$35-60,1.4,carefull,https://s.click.aliexpress.com/e/_c39Lv53l,https://ae-pic-a1.aliexpress-media.com/kf/Sb09d907073474dc7929662a82dadadefX.png
12,tools,portable,ANENG,SL108,96w,$25-50,1.2,carefull,https://s.click.aliexpress.com/e/_c4tJEpK3,https://ae-pic-a1.aliexpress-media.com/kf/S89a643bad4c24632bf32012f53f7c631r.jpg
13,tools,iron,JCD,,80w,$15-35,1.3,danger,https://s.click.aliexpress.com/e/_c3KxYbgX,https://ae-pic-a1.aliexpress-media.com/kf/Sbbef3d14c4f843d4b73df012cbe8e354o.jpg
14,tools,portable,SEQURE,SI012 Pro Max,100w,$40-70,1.2,carefull,https://s.click.aliexpress.com/e/_c3tfQvp1,https://ae-pic-a1.aliexpress-media.com/kf/Se6b187a27c47448e82974118851bd68cq.jpg
15,tools,portable,MINIWARE,TS21,100w,$50-85,1.4,carefull,https://s.click.aliexpress.com/e/_c3PA1MJD,https://ae-pic-a1.aliexpress-media.com/kf/S799cdccf6ce14e1e8cb90226b2a13e126.jpg
16,tools,iron,ANENG,SL106,60w,$25-50,1.3,danger,https://s.click.aliexpress.com/e/_c4bIfk5H,https://ae-pic-a1.aliexpress-media.com/kf/S8cc99f486cec41d39b228c4efa36c36aG.jpg
17,tools,iron,RELIFE,936,90w,$15-35,1.3,danger,https://s.click.aliexpress.com/e/_c3g8l8gL,https://ae-pic-a1.aliexpress-media.com/kf/S1ee50cbc97f2425b8f1a7b139d3a2350f.jpg
18,tools,tips,PS5,Joystick,,$8-20,1.1,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
19,tools,tips,PS4,Joystick,,$8-20,1.1,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
20,tools,tips,Switch Pro,Joystick,,$8-20,1.1,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
21,tools,tips,PS5,Joystick,,$8-20,1.2,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
